,0,1
1193,STBA,37.41
1194,NATH,64.25
1195,SI,33.18
1196,CNXN,52.35
1197,RCM,17.56
1198,ACAHW,0.09
1199,OI,16.425
1200,AESC,99.7901
1201,PLAY,40.25
1202,TRI,109.74
1203,FLFVU,10.09
1204,FOA,1.4
1205,MHI,8.2191
1206,FHI,35.22
1207,CIXX,11.1
1208,ZS,153.96
1209,GS,383.77
1210,PGP,7.07
1211,FTVIU,9.95
1212,GWW,591.52
1213,GEL,11.04
1214,AEL^B,23.585
1215,WGO,63.56
1216,SMAPU,10.1
1217,CENQ,10.1
1218,QRVO,88.46
1219,WIRE,134.73
1220,XPDBU,9.93
1221,VLT,10.23
1222,DVAX,11.73
1223,PFE,49.12
1224,SBSI,34.33
1225,CSTM,12.5013
1226,LBC,12.46
1227,WRB^F,20.9601
1228,BRK/A,470873.83
1229,LCII,104.36
1230,BY,23.04
1231,NUS,38.275
1232,MKSI,84.58
1233,CNO^A,17.55
1234,KORE,2.95
1235,ATLCL,21.26
1236,NAZ,11.7
1237,KRON,2.92
1238,IVCP,10.01
1239,KW,17.02
1240,CFFEU,10.39
1241,ATCO,15.275
1242,BUSE,25.7
1243,VISL,0.4051
1244,RMR,27.23
1245,TMO,537.79
1246,BTCY,1.29
1247,IRDM,50.62
1248,IVT,25.8825
1249,PLSE,2.17
1250,JELD,10.66
1251,TWKS,9.59
1252,PCSA,2.05
1253,EPWR,9.99
1254,AEAEU,10.04
1255,ZWRKW,0.0122
1256,DAC,61.35
1257,ASB,24.065
1258,RLTY,14.03
